Human	Mouse	Rat
CR2	Cr2	Cr2
CRABP1	Crabp1	Crabp1
CRABP2	Crabp2	Crabp2
CRADD	Cradd	NA
CRAT	Crat	Crat
CRCP	Crcp	Crcp
CREB1	Creb1	Creb1
CREB3	Creb3	Creb3
CREBBP	Crebbp	Crebbp
ATF6B	Atf6b	Atf6b
CREM	Crem	Crem
CRH	Crh	Crh
CRHBP	Crhbp	Crhbp
CRHR1	Crhr1	Crhr1
CRHR2	Crhr2	Crhr2
CRIP1	Crip1	Crip1
BCAR1	Bcar1	Bcar1
CRK	Crk	Crk
CRKL	Crkl	Crkl
CRLF1	Crlf1	Crlf1
CRMP1	Crmp1	Crmp1
DPYSL2	Dpysl2	Dpysl2
PCDHA4	Pcdha4	Pcdha4
PCDHA6	Pcdha6	NA
PCDHA7	Pcdha7	NA
PCDHA5	Pcdha5	NA
PCDHA11	Pcdha11	Pcdha11
PCDHA10	Pcdha10	NA
CRP	Crp	Crp
DMBT1	Dmbt1	Dmbt1
CR1L	Cr1l	Cr1l
HAPLN1	Hapln1	Hapln1
CRX	Crx	Crx
CRY1	Cry1	Cry1
CRY2	Cry2	Cry2
CRYAA	Cryaa	Cryaa
CRYAB	Cryab	Cryab
CRYBA1	Cryba1	Cryba1
CRYBA2	Cryba2	Cryba2
CRYBA4	Cryba4	Cryba4
CRYBB1	Crybb1	Crybb1
CRYBB2	Crybb2	Crybb2
CRYBB3	Crybb3	Crybb3
CRYGA	Cryga	NA
CRYGB	Crygb	NA
CRYGC	Crygc	NA
CRYGS	Crygs	Crygs
CRYM	Crym	Crym
CRYZ	Cryz	Cryz
CS	Cs	Cs
CSF1	Csf1	Csf1
CSF1R	Csf1r	Csf1r
CSF2	Csf2	Csf2
CSF2RB	Csf2rb	Csf2rb
CSF3	Csf3	Csf3
CSF3R	Csf3r	Csf3r
CSK	Csk	Csk
CSN1S1	Csn1s1	Csn1s1
CSN2	Csn2	Csn2
CSN3	Csn3	Csn3
CSNK2A1	Csnk2a1	Csnk2a1
CSNK2A2	Csnk2a2	Csnk2a2
CSNK2B	Csnk2b	Csnk2b
DNAJC5	Dnajc5	Dnajc5
VCAN	Vcan	Vcan
NCAN	Ncan	Ncan
SMC3	Smc3	Smc3
CSRP1	Csrp1	Csrp1
CSRP2	Csrp2	Csrp2
CSRP3	Csrp3	Csrp3
CST7	Cst7	Cst7
CST8	Cst8	Cst8
CSTB	Cstb	Cstb
CTBP1	Ctbp1	Ctbp1
CTBP2	Ctbp2	Ctbp2
CTCF	Ctcf	Ctcf
CTF1	Ctf1	Ctf1
PCYT1A	Pcyt1a	Pcyt1a
CTSB	Ctsb	Ctsb
CTSC	Ctsc	Ctsc
CTSD	Ctsd	Ctsd
CTSE	Ctse	Ctse
CTSG	Ctsg	Ctsg
CTSH	Ctsh	Ctsh
CTSK	Ctsk	Ctsk
CTSL	Ctsl	NA
CTSS	Ctss	Ctss
CTSW	Ctsw	Ctsw
CTTN	Cttn	Cttn
CELF1	Celf1	Celf1
CUX1	Cux1	Cux1
CUX2	Cux2	Cux2
CX3CR1	Cx3cr1	Cx3cr1
CXADR	Cxadr	Cxadr
CYB561	Cyb561	Cyb561
CYBA	Cyba	Cyba
CYBB	Cybb	Cybb
CYCS	Cycs	Cycs
CYP11A1	Cyp11a1	Cyp11a1
CYP11B2	Cyp11b2	NA
CYP17A1	Cyp17a1	Cyp17a1
CYP19A1	Cyp19a1	Cyp19a1
CYP1A1	Cyp1a1	NA
CYP1B1	Cyp1b1	Cyp1b1
CYP21A2	Cyp21a1	Cyp21a1
CYP24A1	Cyp24a1	Cyp24a1
CYP26A1	Cyp26a1	Cyp26a1
CYP2E1	Cyp2e1	Cyp2e1
CYP2F1	Cyp2f2	NA
CYP27B1	Cyp27b1	Cyp27b1
CYP46A1	Cyp46a1	Cyp46a1
CYP4B1	Cyp4b1	Cyp4b1
CYP51A1	Cyp51	Cyp51
CYP7A1	Cyp7a1	Cyp7a1
CYP7B1	Cyp7b1	Cyp7b1
CYP8B1	Cyp8b1	Cyp8b1
DAB1	Dab1	Dab1
DAB2	Dab2	Dab2
DACH1	Dach1	Dach1
DAD1	Dad1	Dad1
CD55	Cd55	Cd55
DAG1	Dag1	Dag1
DGKA	Dgka	Dgka
DAO	Dao	Dao
DAPK2	Dapk2	Dapk2
DAPK3	Dapk3	Dapk3
SLC6A3	Slc6a3	Slc6a3
DAXX	Daxx	Daxx
DAZL	Dazl	Dazl
DBH	Dbh	Dbh
DBI	Dbi	Dbi
DBNL	Dbnl	Dbnl
DBP	Dbp	Dbp
DBT	Dbt	Dbt
DBX1	Dbx1	Dbx1
DCLK1	Dclk1	Dclk1
DCC	Dcc	Dcc
ECI1	Eci1	Eci1
DCK	Dck	Dck
DCN	Dcn	Dcn
PCBD1	Pcbd1	Pcbd1
VPS26C	Vps26c	Vps26c
DCT	Dct	Dct
DCTN1	Dctn1	Dctn1
DCX	Dcx	Dcx
DDB1	Ddb1	Ddb1
DDC	Ddc	Ddc
ASAP1	Asap1	Asap1
GADD45A	Gadd45a	Gadd45a
DDIT3	Ddit3	Ddit3
DDN	Ddn	Ddn
DDOST	Ddost	Ddost
DDT	Ddt	Ddt
DHX15	Dhx15	Dhx15
DDX3X	Ddx3x	Ddx3x
DDX4	Ddx4	Ddx4
DDX5	Ddx5	Ddx5
DDX6	Ddx6	Ddx6
DHX9	Dhx9	Dhx9
DEFA6	Defa6	NA
DEGS1	Degs1	NA
SLC29A2	Slc29a2	Slc29a2
TWIST2	Twist2	Twist2
DES	Des	Des
DFFA	Dffa	Dffa
ACKR1	Ackr1	Ackr1
DGAT1	Dgat1	Dgat1
DGCR2	Dgcr2	Dgcr2
SLC25A1	Slc25a1	Slc25a1
DHCR7	Dhcr7	Dhcr7
DHFR	Dhfr	Dhfr
DHH	Dhh	Dhh
DIAPH1	Diaph1	Diaph1
DFFB	Dffb	Dffb
DIO1	Dio1	Dio1
DIO2	Dio2	Dio2
DKK1	Dkk1	Dkk1
DLD	Dld	Dld
DLG1	Dlg1	Dlg1
MPP3	Mpp3	Mpp3
DLG4	Dlg4	Dlg4
DLK1	Dlk1	Dlk1
DLL1	Dll1	Dll1
DLL3	Dll3	Dll3
DLX1	Dlx1	Dlx1
DLX2	Dlx2	Dlx2
DLX3	Dlx3	Dlx3
DLX4	Dlx4	Dlx4
DLX5	Dlx5	Dlx5
DLX6	Dlx6	Dlx6
DMPK	Dmpk	Dmpk
DMWD	Dmwd	Dmwd
DMC1	Dmc1	Dmc1
DMD	Dmd	Dmd
DMP1	Dmp1	Dmp1
TMC1	Tmc1	Tmc1
DNAH11	Dnah11	Dnah11
DNAH8	Dnah8	Dnah8
DNAJC1	Dnajc1	Dnajc1
DNASE1	Dnase1	Dnase1
DNASE1L3	Dnase1l3	Dnase1l3
DNASE2	Dnase2a	Dnase2
DYNC1H1	Dync1h1	Dync1h1
DYNC1I1	Dync1i1	Dync1i1
DYNC1I2	Dync1i2	Dync1i2
DNM1	Dnm1	Dnm1
DNM2	Dnm2	Dnm2
DNMT1	Dnmt1	Dnmt1
TRDMT1	Trdmt1	Trdmt1
DNMT3A	Dnmt3a	Dnmt3a
DNMT3B	Dnmt3b	Dnmt3b
DNPEP	Dnpep	Dnpep
CDK2AP1	Cdk2ap1	Cdk2ap1
DOC2A	Doc2a	Doc2a
DOC2B	Doc2b	Doc2b
DOK1	Dok1	Dok1
DOK2	Dok2	Dok2
REEP5	Reep5	Reep5
DPAGT1	Dpagt1	Dpagt1
DPEP1	Dpep1	Dpep1
DPM1	Dpm1	Dpm1
DPM2	Dpm2	Dpm2
DPP4	Dpp4	Dpp4
DPP6	Dpp6	Dpp6
DR1	Dr1	Dr1
SLC26A3	Slc26a3	Slc26a3
DRD1	Drd1	Drd1
DRD2	Drd2	Drd2
DRD3	Drd3	Drd3
DRD4	Drd4	Drd4
DRD5	Drd5	Drd5
DRG1	Drg1	Drg1
DRG2	Drg2	Drg2
ARID3A	Arid3a	Arid3a
DRP2	Drp2	Drp2
ATN1	Atn1	Atn1
DSC1	Dsc1	Dsc1
DSC2	Dsc2	Dsc2
DSC3	Dsc3	Dsc3
DSCAM	Dscam	Dscam
DSG2	Dsg2	Dsg2
DSG3	Dsg3	Dsg3
EPYC	Epyc	Epyc
DST	Dst	Dst
SLC26A2	Slc26a2	Slc26a2
ADAM28	Adam28	Adam28
ADAM18	Adam18	Adam18
DTNA	Dtna	Dtna
DTNB	Dtnb	Dtnb
DUSP2	Dusp2	Dusp2
DVL1	Dvl1	Dvl1
DVL2	Dvl2	Dvl2
DVL3	Dvl3	Dvl3
DYRK1A	Dyrk1a	Dyrk1a
DYRK1B	Dyrk1b	Dyrk1b
E2F1	E2f1	E2f1
E2F3	E2f3	E2f3
E2F5	E2f5	E2f5
E4F1	E4f1	E4f1
MAPRE1	Mapre1	Mapre1
EBF1	Ebf1	Ebf1
EBF2	Ebf2	Ebf2
EBF3	Ebf3	Ebf3
EBP	Ebp	Ebp
ECEL1	Ecel1	Ecel1
ECM1	Ecm1	Ecm1
SPARCL1	Sparcl1	Sparcl1
OPN3	Opn3	Opn3
ECT2	Ect2	Ect2
EDA	Eda	Eda
EDAR	Edar	Edar
S1PR1	S1pr1	S1pr1
S1PR3	S1pr3	S1pr3
S1PR4	S1pr4	S1pr4
EDIL3	Edil3	Edil3
EDN1	Edn1	Edn1
EDN2	Edn2	Edn2
EDN3	Edn3	Edn3
EDNRA	Ednra	Ednra
EDNRB	Ednrb	Ednrb
PHC1	Phc1	Phc1
EED	Eed	Eed
EEF1A1	Eef1a1	Eef1a1
EEF1A2	Eef1a2	Eef1a2
EEF2	Eef2	Eef2
EEF2K	Eef2k	Eef2k
EFNA1	Efna1	Efna1
EFNA2	Efna2	Efna2
EFNA3	Efna3	Efna3
EFNA4	Efna4	Efna4
EFNA5	Efna5	Efna5
EFNB1	Efnb1	Efnb1
EFNB2	Efnb2	Efnb2
EFNB3	Efnb3	Efnb3
EFS	Efs	Efs
EGF	Egf	Egf
EGFR	Egfr	Egfr
RHBDF1	Rhbdf1	Rhbdf1
EGR1	Egr1	Egr1
EGR2	Egr2	Egr2
EGR3	Egr3	Egr3
EGR4	Egr4	Egr4
EHD1	Ehd1	Ehd1
EHF	Ehf	Ehf
EI24	Ei24	Ei24
EIF2S1	Eif2s1	Eif2s1
EIF2AK3	Eif2ak3	Eif2ak3
EIF2B4	Eif2b4	Eif2b4
EIF3A	Eif3a	Eif3a
EIF4A1	Eif4a1	Eif4a1
EIF4A2	Eif4a2	Eif4a2
EIF4E	Eif4e	Eif4e
EIF4EBP1	Eif4ebp1	Eif4ebp1
EIF4EBP2	Eif4ebp2	Eif4ebp2
EIF4G2	Eif4g2	Eif4g2
CELA2A	Cela2a	Cela2a
ELF1	Elf1	Elf1
ELF3	Elf3	Elf3
ELF5	Elf5	Elf5
ELK1	Elk1	Elk1
ELK3	Elk3	Elk3
ELK4	Elk4	Elk4
ELL	Ell	Ell
ELN	Eln	Eln
AIMP1	Aimp1	Aimp1
EMB	Emb	Emb
EMD	Emd	Emd
MARK2	Mark2	Mark2
EMP1	Emp1	Emp1
EMP2	Emp2	Emp2
EMP3	Emp3	Emp3
ADGRE1	Adgre1	Adgre1
EMX1	Emx1	Emx1
EMX2	Emx2	Emx2
EN1	En1	En1
EN2	En2	En2
ENAH	Enah	Enah
ENAM	Enam	Enam
ENC1	Enc1	Enc1
ENDOG	Endog	Endog
ENG	Eng	Eng
ENO1	Eno1	Eno1
ENO2	Eno2	Eno2
ENO3	Eno3	Eno3
ENPEP	Enpep	Enpep
EOMES	Eomes	Eomes
EPAS1	Epas1	Epas1
EPB41L1	Epb41l1	Epb41l1
EPB41L2	Epb41l2	Epb41l2
EPB41L3	Epb41l3	Epb41l3
EPB41L4A	Epb41l4a	Epb41l4a
EPB42	Epb42	Epb42
DMTN	Dmtn	Dmtn
STOM	Stom	Stom
EPC1	Epc1	Epc1
EPHA1	Epha1	Epha1
EPHA2	Epha2	Epha2
EPHA3	Epha3	Epha3
EPHA4	Epha4	Epha4
EPHA5	Epha5	Epha5
EPHA6	Epha6	Epha6
EPHA7	Epha7	Epha7
EPHA8	Epha8	Epha8
EPHB2	Ephb2	Ephb2
EPHB3	Ephb3	Ephb3
EPHB4	Ephb4	Ephb4
EPHB6	Ephb6	Ephb6
EPHX1	Ephx1	Ephx1
EPHX2	Ephx2	Ephx2
STX2	Stx2	Stx2
EPM2A	Epm2a	Epm2a
EPN1	Epn1	Epn1
EPN2	Epn2	Epn2
EPO	Epo	Epo
EPOR	Epor	Epor
EPS15	Eps15	Eps15
EPS15L1	Eps15l1	Eps15l1
EPS8	Eps8	Eps8
EPX	Epx	Epx
NR2F6	Nr2f6	Nr2f6
NR2F1	Nr2f1	Nr2f1
ERBB2	Erbb2	Erbb2
ERBB3	Erbb3	Erbb3
ERBB4	Erbb4	Erbb4
ERCC1	Ercc1	Ercc1
ERCC2	Ercc2	Ercc2
ERCC3	Ercc3	Ercc3
EREG	Ereg	Ereg
ERF	Erf	Erf
ERG	Erg	Erg
ERH	Erh	Erh
ESD	Esd	Esd
CES3	Ces3b	Ces3a
AMZ2	Amz2	Amz2
GNB1L	Gnb1l	Gnb1l
ESR1	Esr1	Esr1
ESR2	Esr2	Esr2
ESX1	Esx1	Esx1
SMARCAD1	Smarcad1	Smarcad1
KHDRBS3	Khdrbs3	Khdrbs3
FGD6	Fgd6	Fgd6
DROSHA	Drosha	Drosha
CHCHD2	Chchd2	Chchd2
CELF2	Celf2	Celf2
ETV2	Etv2	Etv2
ETV1	Etv1	Etv1
ETV6	Etv6	Etv6
MPZL2	Mpzl2	Mpzl2
MECOM	Mecom	Mecom
EVI2A	Evi2a	Evi2a
EVI5	Evi5	Evi5
BCL11A	Bcl11a	Bcl11a
EVL	Evl	Evl
EVPL	Evpl	Evpl
EVX1	Evx1	Evx1
EVX2	Evx2	Evx2
EWSR1	Ewsr1	Ewsr1
EXT1	Ext1	Ext1
EXT2	Ext2	Ext2
EYA1	Eya1	Eya1
EYA2	Eya2	Eya2
EYA3	Eya3	Eya3
EYA4	Eya4	Eya4
EZH1	Ezh1	Ezh1
EZH2	Ezh2	Ezh2
SFXN1	Sfxn1	Sfxn1
F10	F10	F10
F13B	F13b	F13b
F2	F2	F2
F2R	F2r	F2r
F2RL1	F2rl1	F2rl1
F2RL2	F2rl2	F2rl2
F2RL3	F2rl3	F2rl3
F3	F3	F3
F5	F5	F5
F7	F7	F7
F8	F8	F8
F9	F9	F9
FAAH	Faah	Faah
FABP3	Fabp3	Fabp3
FABP2	Fabp2	Fabp2
FABP1	Fabp1	Fabp1
ACSL1	Acsl1	Acsl1
FADD	Fadd	Fadd
PTK2	Ptk2	Ptk2
FAF1	Faf1	Faf1
FAH	Fah	Fah
FSCN1	Fscn1	Fscn1
FANCA	Fanca	Fanca
FANCC	Fancc	Fancc
FAP	Fap	Fap
FAS	Fas	Fas
FASLG	Fasl	Faslg
FASN	Fasn	Fasn
SRSF10	Srsf10	Srsf10
FOXH1	Foxh1	Foxh1
FAT1	Fat1	Fat1
FAU	Fau	Fau
FBL	Fbl	Fbl
FBLN1	Fbln1	Fbln1
FBLN2	Fbln2	Fbln2
FBN1	Fbn1	Fbn1
FBN2	Fbn2	Fbn2
FBP2	Fbp2	Fbp2
FBP1	Fbp1	Fbp1
FBRS	Fbrs	Fbrs
FCER1A	Fcer1a	Fcer1a
MS4A2	Ms4a2	Ms4a2
FCER1G	Fcer1g	Fcer1g
FCER2	Fcer2a	Fcer2
FCGR1A	Fcgr1	Fcgr1a
FCGRT	Fcgrt	Fcgrt
FCN1	Fcnb	Fcnb
FDFT1	Fdft1	Fdft1
FDX1	Fdx1	Fdx1
FDXR	Fdxr	Fdxr
FECH	Fech	Fech
FEM1A	Fem1a	Fem1a
FEM1B	Fem1b	Fem1b
FEN1	Fen1	Fen1
FER	Fer	Fer
FES	Fes	Fes
LGR5	Lgr5	Lgr5
FGA	Fga	Fga
FGD1	Fgd1	Fgd1
FGF1	Fgf1	Fgf1
FGF10	Fgf10	Fgf10
FGF11	Fgf11	Fgf11
FGF12	Fgf12	Fgf12
FGF13	Fgf13	Fgf13
FGF14	Fgf14	Fgf14
FGF19	Fgf15	Fgf19
FGF17	Fgf17	Fgf17
FGF18	Fgf18	Fgf18
FGF2	Fgf2	Fgf2
FGF3	Fgf3	Fgf3
FGF4	Fgf4	Fgf4
FGF5	Fgf5	Fgf5
FGF6	Fgf6	Fgf6
FGF7	Fgf7	Fgf7
FGF8	Fgf8	Fgf8
FGF9	Fgf9	Fgf9
FGFBP1	Fgfbp1	Fgfbp1
FGFR1	Fgfr1	Fgfr1
FGFR2	Fgfr2	Fgfr2
FGFR3	Fgfr3	Fgfr3
FGFR4	Fgfr4	Fgfr4
FGL2	Fgl2	Fgl2
FGR	Fgr	Fgr
FH	Fh1	Fh
FHIT	Fhit	Fhit
FHL1	Fhl1	Fhl1
FHL2	Fhl2	Fhl2
FHL3	Fhl3	Fhl3
VEGFD	Vegfd	Vegfd
PPM1G	Ppm1g	Ppm1g
SMC2	Smc2	Smc2
SH3PXD2A	Sh3pxd2a	Sh3pxd2a
CCN2	Ccn2	Ccn2
FJX1	Fjx1	Fjx1
FKBP1A	Fkbp1a	Fkbp1a
FKBP1B	Fkbp1b	Fkbp1b
FKBP2	Fkbp2	Fkbp2
FKBP4	Fkbp4	Fkbp4
FKBP5	Fkbp5	Fkbp5
FKBP10	Fkbp10	Fkbp10
FKBP7	Fkbp7	Fkbp7
FKBP8	Fkbp8	Fkbp8
FOXI1	Foxi1	Foxi1
FOXC2	Foxc2	Foxc2
FOXM1	Foxm1	Foxm1
FOXN2	Foxn2	Foxn2
FOXD4	Foxd4	Foxd4
FOXF2	Foxf2	Foxf2
FOXS1	Foxs1	Foxs1
FOXB2	Foxb2	Foxb2
FOXL1	Foxl1	Foxl1
LPIN1	Lpin1	Lpin1
FLG	Flg	Flg
FLI1	Fli1	Fli1
FLII	Flii	Flii
FLOT1	Flot1	Flot1
FLOT2	Flot2	Flot2
FLT1	Flt1	Flt1
FLT3	Flt3	Flt3
FLT3LG	Flt3l	Flt3lg
FLT4	Flt4	Flt4
FMN1	Fmn1	Fmn1
FMO1	Fmo1	Fmo1
FMO3	Fmo3	NA
FMO5	Fmo5	Fmo5
FMOD	Fmod	Fmod
FMR1	Fmr1	Fmr1
AFF2	Aff2	Aff2
FN1	Fn1	Fn1
FNBP1	Fnbp1	Fnbp1
SRGAP2	Srgap2	Srgap2
FNTA	Fnta	Fnta
FOLR1	Folr1	Folr1
FOLR2	Folr2	Folr2
FOS	Fos	Fos
FOSB	Fosb	Fosb
FOSL1	Fosl1	Fosl1
FOSL2	Fosl2	Fosl2
FPGS	Fpgs	Fpgs
FPR2	Fpr2	NA
FPR1	Fpr1	Fpr1
FRAT1	Frat1	Frat1
FXN	Fxn	Fxn
NCS1	Ncs1	Ncs1
FRG1	Frg1	NA
FRK	Frk	Frk
FSHB	Fshb	Fshb
FSHR	Fshr	Fshr
CIDEC	Cidec	Cidec
BRD2	Brd2	Brd2
FST	Fst	Fst
FSTL1	Fstl1	Fstl1
FTCD	Ftcd	Ftcd
FTH1	Fth1	Fth1
FTL	Ftl1	Ftl1
AKTIP	Aktip	Aktip
FUT1	Fut1	Fut1
FUT2	Fut2	Fut2
FUT4	Fut4	Fut4
FUT7	Fut7	Fut7
FUT9	Fut9	Fut9
TIMM10B	Timm10b	Timm10b
DTX1	Dtx1	Dtx1
FXR1	Fxr1	Fxr1
FYN	Fyn	Fyn
FZD1	Fzd1	Fzd1
FZD3	Fzd3	Fzd3
FZD4	Fzd4	Fzd4
FZD5	Fzd5	Fzd5
FZD6	Fzd6	Fzd6
FZD7	Fzd7	Fzd7
FZD8	Fzd8	Fzd8
FZD9	Fzd9	Fzd9
G0S2	G0s2	G0s2
XRCC6	Xrcc6	Xrcc6
GANAB	Ganab	Ganab
G6PC1	G6pc1	G6pc1
G6PC2	G6pc2	G6pc2
G6PD	G6pdx	G6pd
SLC37A4	Slc37a4	Slc37a4
GAA	Gaa	Gaa
GAB1	Gab1	Gab1
GAB2	Gab2	Gab2
GABPA	Gabpa	Gabpa
GABPB1	Gabpb1	Gabpb1
GABRA1	Gabra1	Gabra1
GABRA2	Gabra2	Gabra2
GABRA3	Gabra3	Gabra3
GABRA4	Gabra4	Gabra4
GABRA6	Gabra6	Gabra6
GABRB1	Gabrb1	Gabrb1
GABRB2	Gabrb2	Gabrb2
GABRB3	Gabrb3	Gabrb3
GABRD	Gabrd	Gabrd
GABRE	Gabre	Gabre
GABRG1	Gabrg1	Gabrg1
GABRG2	Gabrg2	Gabrg2
GABRG3	Gabrg3	Gabrg3
GABRR1	Gabrr1	Gabrr1
GABRR2	Gabrr2	Gabrr2
SLC6A13	Slc6a13	Slc6a13
GAD1	Gad1	Gad1
GAD2	Gad2	Gad2
GAL	Gal	Gal
GALC	Galc	Galc
B4GALNT1	B4galnt1	B4galnt1
B4GALNT2	B4galnt2	B4galnt2
GALNT1	Galnt1	Galnt1
GALNT3	Galnt3	Galnt3
GALNT4	Galnt4	Galnt4
GALR1	Galr1	Galr1
GALR2	Galr2	Galr2
GALR3	Galr3	Galr3
GALT	Galt	Galt
GAMT	Gamt	Gamt
GAP43	Gap43	Gap43
GAPDH	Gapdh	Gapdh
GAPDHS	Gapdhs	Gapdhs
GART	Gart	Gart
GAS1	Gas1	Gas1
GAS2	Gas2	Gas2
GAS5	Gas5	Gas5
GAS6	Gas6	Gas6
GAS7	Gas7	Gas7
GAST	Gast	Gast
GATA1	Gata1	Gata1
GATA2	Gata2	Gata2
GATA3	Gata3	Gata3
GATA4	Gata4	Gata4
GATA5	Gata5	Gata5
GATA6	Gata6	Gata6
GBA1	Gba1	Gba1
NIPSNAP2	Nipsnap2	Nipsnap2
RABAC1	Rabac1	Rabac1
GBX2	Gbx2	Gbx2
GC	Gc	Gc
USP15	Usp15	Usp15
MTPN	Mtpn	Mtpn
GCSAM	Gcsam	Gcsam
GCG	Gcg	Gcg
GCGR	Gcgr	Gcgr
GCH1	Gch1	Gch1
GCM1	Gcm1	Gcm1
BLOC1S1	Bloc1s1	Bloc1s1
KAT2A	Kat2a	Kat2a
NR6A1	Nr6a1	Nr6a1
GCNT1	Gcnt1	Gcnt1
GCNT2	Gcnt2	Gcnt2
OPN1MW	Opn1mw	Opn1mw
GDA	Gda	Gda
GDAP1	Gdap1	Gdap1
GDAP2	Gdap2	Gdap2
MRPS33	Mrps33	Mrps33
GPD1	Gpd1	Gpd1
GDF1	Gdf1	Gdf1
GDF10	Gdf10	Gdf10
GDF11	Gdf11	Gdf11
GDF3	Gdf3	Gdf3
GDF5	Gdf5	Gdf5
GDF9	Gdf9	Gdf9
GDI1	Gdi1	Gdi1
GDI2	Gdi2	Gdi2
ARHGDIG	Arhgdig	Arhgdig
GPD2	Gpd2	Gpd2
GDNF	Gdnf	Gdnf
GEM	Gem	Gem
GFAP	Gfap	Gfap
GFI1	Gfi1	Gfi1
GFI1B	Gfi1b	Gfi1b
GFPT1	Gfpt1	Gfpt1
GFPT2	Gfpt2	Gfpt2
GFRA1	Gfra1	Gfra1
GFRA2	Gfra2	Gfra2
GFRA3	Gfra3	Gfra3
GFRA4	Gfra4	Gfra4
GGH	Ggh	Ggh
GGPS1	Ggps1	Ggps1
GGTA1	Ggta1	Ggta1
B4GALT1	B4galt1	B4galt1
GGT1	Ggt1	Ggt1
GH1	Gh	Gh1
GHR	Ghr	Ghr
GHRH	Ghrh	Ghrh
GHRHR	Ghrhr	Ghrhr
TSC22D3	Tsc22d3	Tsc22d3
GIP	Gip	Gip
GPR83	Gpr83	Gpr83
GJA1	Gja1	Gja1
GJA10	Gja10	Gja10
GJA3	Gja3	Gja3
GJA4	Gja4	Gja4
GJA5	Gja5	Gja5
GJC1	Gjc1	Gjc1
GJA8	Gja8	Gja8
GJD2	Gjd2	Gjd2
GJB1	Gjb1	Gjb1
GJB2	Gjb2	Gjb2
GJB3	Gjb3	Gjb3
GJB4	Gjb4	Gjb4
GJB5	Gjb5	Gjb5
GJB6	Gjb6	Gjb6
GK2	Gk2	Gk2
OSTM1	Ostm1	Ostm1
GCLC	Gclc	Gclc
GCLM	Gclm	Gclm
GLI1	Gli1	Gli1
GLI2	Gli2	Gli2
GLI3	Gli3	Gli3
GALK1	Galk1	Galk1
GLUL	Glul	Glul
HAGH	Hagh	Hagh
GLP1R	Glp1r	Glp1r
GLRA1	Glra1	Glra1
GLRA4	Glra4	NA
GLRB	Glrb	Glrb
GLS	Gls	Gls
GLUD1	Glud1	Glud1
SLC6A9	Slc6a9	Slc6a9
GM2A	Gm2a	Gm2a
GNL1	Gnl1	Gnl1
GNA11	Gna11	Gna11
GNA12	Gna12	Gna12
GNA13	Gna13	Gna13
GNA14	Gna14	Gna14
GNA15	Gna15	Gna15
GNAI1	Gnai1	Gnai1
GNAI2	Gnai2	Gnai2
GNAI3	Gnai3	Gnai3
GNAL	Gnal	Gnal
GNAO1	Gnao1	Gnao1
GNAQ	Gnaq	Gnaq
GNAS	Gnas	Gnas
GNAT1	Gnat1	Gnat1
GNAT2	Gnat2	Gnat2
GNAZ	Gnaz	Gnaz
GNB1	Gnb1	Gnb1
GNB2	Gnb2	Gnb2
RACK1	Rack1	Rack1
GNB3	Gnb3	Gnb3
GNB4	Gnb4	Gnb4
GNB5	Gnb5	Gnb5
GNGT1	Gngt1	Gngt1
GNG10	Gng10	Gng10
GNG12	Gng12	Gng12
GNG2	Gng2	Gng2
GNG3	Gng3	Gng3
BSCL2	Bscl2	Bscl2
GNG4	Gng4	Gng4
GNG5	Gng5	Gng5
GNG7	Gng7	Gng7
GNG8	Gng8	Gng8
GNGT2	Gngt2	Gngt2
GNMT	Gnmt	Gnmt
GNPAT	Gnpat	Gnpat
GNRH1	Gnrh1	Gnrh1
GNRHR	Gnrhr	Gnrhr
GOT1	Got1	Got1
GOT2	Got2	Got2
GP1BA	Gp1ba	Gp1ba
GP1BB	Gp1bb	Gp1bb
LRP2	Lrp2	Lrp2
PDPN	Pdpn	Pdpn
GP5	Gp5	Gp5
GPAA1	Gpaa1	Gpaa1
GPAM	Gpam	Gpam
GPC1	Gpc1	Gpc1
GPC3	Gpc3	Gpc3
GPC4	Gpc4	Gpc4
GPR12	Gpr12	Gpr12
S1PR2	S1pr2	S1pr2
GPR65	Gpr65	Gpr65
LPAR1	Lpar1	Lpar1
CMKLR1	Cmklr1	Cmklr1
GPR3	Gpr3	Gpr3
GPI	Gpi1	Gpi
PIGQ	Pigq	Pigq
GPLD1	Gpld1	Gpld1
GPM6B	Gpm6b	Gpm6b
GPR19	Gpr19	Gpr19
GPR27	Gpr27	Gpr27
GPR33	Gpr33	NA
GPR37	Gpr37	Gpr37
PTGDR2	Ptgdr2	Ptgdr2
GPR50	Gpr50	Gpr50
ADGRG1	Adgrg1	Adgrg1
NMUR1	Nmur1	Nmur1
LANCL1	Lancl1	Lancl1
GRK4	Grk4	Grk4
GRK5	Grk5	Grk5
GPX1	Gpx1	Gpx1
GPX2	Gpx2	Gpx2
GPX3	Gpx3	Gpx3
GPX5	Gpx5	Gpx5
GSR	Gsr	Gsr
GRB10	Grb10	Grb10
GRB2	Grb2	Grb2
GRB7	Grb7	Grb7
RHPN1	Rhpn1	Rhpn1
GPR162	Gpr162	Gpr162
P3H3	P3h3	P3h3
C12orf57	Grcc10	Grcc10
EMG1	Emg1	Emg1
LPCAT3	Lpcat3	Lpcat3
CDCA3	Cdca3	Cdca3
SPSB2	Spsb2	Spsb2
TLE5	Tle5	Tle5
GRIA1	Gria1	Gria1
GRIA2	Gria2	Gria2
GRIA4	Gria4	Gria4
GRID1	Grid1	Grid1
